"id";"name";"location"
1;"PCV";"Jl. Kemang Timur Raya No.22, RT.14/RW.8, Pejaten Bar., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510"
2;"Ampera";" Jl. Ampera Raya Cilandak Tim. Ps. Minggu Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560 "
